family,side,bucket,band,n_markets,grey,avg_paid_c,realized_pct,bias_pp,ci_lo,ci_hi,vw_paid_c,vw_realized_pct,qty_contracts,n_trades,spread_med_c,spread_n_markets,fee_c,cost_c,exceeds_cost,max_single_loss_c
sports_game,no,35-50,gt60m,2576,False,42.33,42.62,-0.29,-2.17,1.63,42.34,42.5,34837667.7,264048,12.11,4409,1.71,13.82,False,65.0
sports_game,no,45-55(null),gt60m,2521,False,49.54,48.79,0.75,-1.18,2.64,49.42,49.55,26790030.6,193299,15.76,9206,1.75,17.51,False,55.0
sports_game,no,50-65,gt60m,2846,False,56.92,54.88,2.04,0.17,3.88,57.06,59.29,40385364.3,288418,19.42,4797,1.72,21.13,False,50.0
sports_game,no,65-80,gt60m,2964,False,71.81,67.75,4.07,2.27,5.8,71.62,70.78,33407746.4,263186,3.61,3537,1.42,5.03,False,35.0
sports_game,no,80-90,gt60m,2349,False,84.04,77.52,6.51,4.75,8.13,84.21,84.55,20299678.2,170379,2.29,2251,0.94,3.23,True,20.0
sports_game,no,90-95,gt60m,1470,False,91.81,85.03,6.78,5.04,8.69,92.09,89.65,8571869.3,78741,1.74,1226,0.53,2.27,True,10.0
sports_game,no,95-99,gt60m,964,False,96.69,89.94,6.76,4.76,8.62,97.15,94.0,9186563.3,57543,1.34,681,0.22,1.56,True,5.0
sports_game,no,01-05,lt2m,1411,False,1.04,0.0,1.04,1.03,1.05,1.1,0.0,6409277.6,31981,1.54,165,0.07,1.61,False,
sports_game,no,05-10,lt2m,74,False,6.56,0.0,6.56,6.27,6.84,6.13,0.0,174471.4,1896,3.0,97,0.43,3.43,True,
sports_game,no,10-20,lt2m,49,False,12.81,0.0,12.81,12.21,13.51,13.87,0.0,46946.6,681,5.84,60,0.78,6.62,True,
sports_game,no,20-35,lt2m,15,True,25.26,0.0,25.26,23.42,27.47,26.23,0.0,23941.5,282,5.0,33,1.32,6.32,False,
sports_game,no,35-50,lt2m,10,True,39.84,10.0,29.84,11.2,40.87,43.75,1.26,3767.6,68,2.0,36,1.68,3.68,False,53.0
sports_game,no,45-55(null),lt2m,7,True,49.45,28.57,20.87,-7.39,48.82,47.47,11.94,2884.5,38,2.5,76,1.75,4.25,False,47.7
sports_game,no,50-65,lt2m,10,True,56.41,60.0,-3.59,-31.55,24.78,56.44,98.95,12150.4,167,3.0,40,1.72,4.72,False,44.8
sports_game,no,65-80,lt2m,15,True,73.78,86.67,-12.88,-26.68,6.56,71.47,99.19,20472.9,359,2.78,60,1.35,4.13,False,31.5
sports_game,no,80-90,lt2m,30,False,85.5,100.0,-14.5,-15.31,-13.67,85.08,100.0,75599.5,573,4.57,73,0.87,5.44,True,19.4
sports_game,no,90-95,lt2m,76,False,93.05,100.0,-6.95,-7.17,-6.75,92.52,100.0,65084.8,1158,3.29,121,0.45,3.74,True,10.0
sports_game,no,95-99,lt2m,216,False,98.4,100.0,-1.6,-1.68,-1.52,98.31,100.0,840335.8,7462,1.42,191,0.11,1.53,True,4.3
sports_game,yes,01-05,10-60m,1895,False,2.13,2.16,-0.03,-0.74,0.59,2.15,1.33,61737102.1,194247,1.28,1808,0.15,1.43,False,99.0
sports_game,yes,05-10,10-60m,1941,False,7.06,5.77,1.29,0.3,2.33,6.88,7.79,45237379.0,297970,1.83,2136,0.46,2.29,False,95.0
sports_game,yes,10-20,10-60m,2243,False,14.3,11.81,2.49,1.2,3.77,14.44,12.15,73931857.7,609716,2.03,2357,0.86,2.89,False,89.6
sports_game,yes,20-35,10-60m,2233,False,26.26,22.44,3.83,2.01,5.48,26.65,20.15,75042937.3,699383,2.38,2350,1.36,3.74,True,80.0
sports_game,yes,35-50,10-60m,2025,False,41.83,37.09,4.74,2.71,6.83,42.24,37.81,79421832.4,688899,2.61,2114,1.7,4.31,True,65.0
sports_game,yes,45-55(null),10-60m,1827,False,49.36,45.81,3.55,1.34,5.89,49.62,48.43,57921039.6,478112,2.61,4131,1.75,4.36,False,55.0
sports_game,yes,50-65,10-60m,1926,False,56.87,54.26,2.62,0.48,4.78,56.68,59.75,81220313.4,670044,2.6,2017,1.72,4.32,False,50.0
