family,phase,grp,date,pnl_c
sports_game,unknown,longshot,2026-07-12,0.5886175158472592
sports_game,unknown,longshot,2026-07-13,-21.54659863049989
sports_game,unknown,longshot,2026-07-14,0.6473179068770033
sports_game,unknown,longshot,2026-07-15,-20.58266074687591
sports_game,unknown,longshot,2026-07-16,-19.68382555522581
sports_game,unknown,longshot,2026-07-17,-17.183326099678922
sports_game,unknown,longshot,2026-07-18,-2.585393756553269
sports_game,unknown,longshot,2026-07-19,-6.789177572450732
sports_game,unknown,longshot,2026-07-20,-3.544620505394997
sports_game,unknown,longshot,2026-07-21,-24.858533150357975
sports_game,unknown,longshot,2026-07-22,0.38007225598646954
sports_game,unknown,longshot,2026-07-23,-14.60037062003571
sports_game,unknown,longshot,2026-07-24,-9.265843877394143
sports_prop,ingame,favorite,2026-07-10,35.88447933166806
sports_prop,ingame,favorite,2026-07-11,203.1501209306718
sports_prop,ingame,favorite,2026-07-12,128.8773473919787
sports_prop,ingame,favorite,2026-07-13,17.798574730174824
sports_prop,ingame,favorite,2026-07-14,23.780234252454175
sports_prop,ingame,favorite,2026-07-15,51.24255511646008
sports_prop,ingame,favorite,2026-07-16,49.42297304122234
sports_prop,ingame,favorite,2026-07-17,40.528502396079965
sports_prop,ingame,favorite,2026-07-18,143.92300555185707
sports_prop,ingame,favorite,2026-07-19,68.9593713757312
sports_prop,ingame,favorite,2026-07-20,62.78165701141877
sports_prop,ingame,favorite,2026-07-21,185.29659839984484
sports_prop,ingame,favorite,2026-07-22,141.5617400689051
sports_prop,ingame,favorite,2026-07-23,170.09727886973369
sports_prop,ingame,favorite,2026-07-24,67.06644440681019
sports_prop,ingame,longshot,2026-07-10,42.59907135299903
sports_prop,ingame,longshot,2026-07-11,30.605611544113994
sports_prop,ingame,longshot,2026-07-12,140.16420291854737
sports_prop,ingame,longshot,2026-07-13,0.23132656080765485
sports_prop,ingame,longshot,2026-07-14,14.520869065267469
sports_prop,ingame,longshot,2026-07-15,7.524020067392474
sports_prop,ingame,longshot,2026-07-16,-0.4419805553363069
sports_prop,ingame,longshot,2026-07-17,31.020498357366797
sports_prop,ingame,longshot,2026-07-18,54.61473571865818
sports_prop,ingame,longshot,2026-07-19,74.16103282875987
sports_prop,ingame,longshot,2026-07-20,29.17671094335559
sports_prop,ingame,longshot,2026-07-21,-42.11136093970854
sports_prop,ingame,longshot,2026-07-22,52.025268884384126
sports_prop,ingame,longshot,2026-07-23,-33.99312064127177
