date,latency_id,cancel_timer_us,track,refill_group,horizon_us,total_slices,observed_slices,censored_slices,total_filled_count_e4,observed_count_e4,censored_count_e4,weighted_gross_sum_e8,weighted_censored_entry_price_sum_e8,weighted_gross_lower_sum_e8,weighted_gross_upper_sum_e8,coverage_count_num_e4,coverage_count_den_e4,mean_gross_e4
2026-07-12,FAST,300000,STRICT_THROUGH,REFILL_BY_TIMER,500000,491,454,46,4679600,4256500,423100,-576360000,1906240000,-2482600000,1748400000,4256500,4679600,-135.4070245506872
2026-07-12,FAST,300000,STRICT_THROUGH,REFILL_BY_TIMER,1000000,491,433,62,4679600,4083400,596200,-530430000,2840980000,-3371410000,2590590000,4083400,4679600,-129.89910368810305
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,100000,1946,1863,106,18765200,17850200,915000,-2110380000,3738700000,-5849080000,3300920000,17850200,18765200,-118.22724675353777
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,200000,1946,1894,71,18765200,18164800,600400,-2104520000,2214900000,-4319420000,1684580000,18164800,18765200,-115.85704219149123
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,500000,1946,1731,236,18765200,16547200,2218000,-2044640000,9960480000,-12005120000,10174880000,16547200,18765200,-123.56410752272288
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,1000000,1946,1628,337,18765200,15574800,3190400,-2068080000,14242860000,-16310940000,15593060000,15574800,18765200,-132.78372755990446
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,100000,2205,2111,103,21185900,20222200,963700,-767270000,4250270000,-5017540000,4619460000,20222200,21185900,-37.941964771389856
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,200000,2205,2151,65,21185900,20598300,587600,-814470000,2513670000,-3328140000,2547860000,20598300,21185900,-39.540641703441544
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,500000,2205,1990,223,21185900,19064800,2121100,-741440000,11310690000,-12052130000,9158870000,19064800,21185900,-38.890520750283244
2026-07-12,PRIMARY,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,1000000,2205,1914,296,21185900,18323700,2862200,-720670000,14656770000,-15377440000,13244560000,18323700,21185900,-39.329938822399406
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,100000,931,906,35,8959900,8663800,296100,-1685050000,1049130000,-2734180000,226820000,8663800,8959900,-194.49317851289274
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,200000,931,914,27,8959900,8730300,229600,-1668180000,673650000,-2341830000,-45830000,8730300,8959900,-191.07934435242774
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,500000,931,861,80,8959900,8207600,752300,-1581560000,3180350000,-4761910000,2761090000,8207600,8959900,-192.69457575905258
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,1000000,931,812,127,8959900,7776400,1183500,-1571480000,4841990000,-6413470000,5421530000,7776400,8959900,-202.08322617149324
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,100000,658,647,18,6313000,6146200,166800,-635100000,557980000,-1193080000,474920000,6146200,6313000,-103.33214018417884
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,200000,658,650,16,6313000,6179100,133900,-627480000,376270000,-1003750000,335250000,6179100,6313000,-101.54876923823858
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,500000,658,606,61,6313000,5766900,546100,-568230000,2552650000,-3120880000,2340120000,5766900,6313000,-98.53300733496333
2026-07-12,PRIMARY,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,1000000,658,570,93,6313000,5437300,875700,-564500000,4185710000,-4750210000,4006790000,5437300,6313000,-103.81991061740202
2026-07-12,PRIMARY,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,100000,821,800,29,7981200,7720800,260400,-1650700000,799120000,-2449820000,154180000,7720800,7981200,-213.79908817739096
2026-07-12,PRIMARY,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,200000,821,806,25,7981200,7766900,214300,-1608600000,577810000,-2186410000,-43410000,7766900,7981200,-207.10965764977018
2026-07-12,PRIMARY,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,500000,821,761,69,7981200,7333700,647500,-1533420000,2504180000,-4037600000,2437400000,7333700,7981200,-209.0922726590943
2026-07-12,PRIMARY,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,1000000,821,720,109,7981200,6937700,1043500,-1518630000,4264990000,-5783620000,4651380000,6937700,7981200,-218.89531112616572
2026-07-12,PRIMARY,200000,STRICT_THROUGH,REFILL_BY_TIMER,100000,442,433,15,4252100,4107000,145100,-593360000,567140000,-1160500000,290500000,4107000,4252100,-144.47528609690772
2026-07-12,PRIMARY,200000,STRICT_THROUGH,REFILL_BY_TIMER,200000,442,437,10,4252100,4163000,89100,-601040000,272410000,-873450000,17550000,4163000,4252100,-144.3766514532789
2026-07-12,PRIMARY,200000,STRICT_THROUGH,REFILL_BY_TIMER,500000,442,408,40,4252100,3880400,371700,-526190000,1771210000,-2297400000,1419600000,3880400,4252100,-135.6019997938357
2026-07-12,PRIMARY,200000,STRICT_THROUGH,REFILL_BY_TIMER,1000000,442,386,59,4252100,3685300,566800,-489430000,2656400000,-3145830000,2522170000,3685300,4252100,-132.8060130789895
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,100000,2586,2466,147,24865200,23567500,1297700,-2736720000,5884230000,-8620950000,4356050000,23567500,24865200,-116.12262649835579
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,200000,2586,2507,101,24865200,23979200,886000,-2741750000,3923380000,-6665130000,2194870000,23979200,24865200,-114.33867685327283
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,500000,2586,2279,331,24865200,21735000,3130200,-2675960000,14067820000,-16743780000,14558220000,21735000,24865200,-123.11755233494364
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,1000000,2586,2172,435,24865200,20767900,4097300,-2682590000,18253490000,-20936080000,20036920000,20767900,24865200,-129.17001718999032
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,100000,2406,2307,111,23119100,22090500,1028600,-849180000,4552040000,-5401220000,4884780000,22090500,23119100,-38.44095878318734
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,200000,2406,2352,68,23119100,22509200,609900,-884560000,2610700000,-3495260000,2603740000,22509200,23119100,-39.29770938105308
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,500000,2406,2175,241,23119100,20821500,2297600,-813940000,12174590000,-12988530000,9987470000,20821500,23119100,-39.091323871959275
2026-07-12,PRIMARY,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,1000000,2406,2095,316,23119100,20080100,3039000,-791670000,15531970000,-16323640000,14066360000,20080100,23119100,-39.42560047011718
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,100000,1280,1241,51,12262900,11814200,448700,-2240690000,1902940000,-4143630000,343370000,11814200,12262900,-189.66074723637655
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,200000,1280,1252,40,12262900,11905900,357000,-2225640000,1374110000,-3599750000,-29750000,11905900,12262900,-186.93588892901838
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,500000,1280,1177,115,12262900,11188000,1074900,-2120420000,4661880000,-6782300000,3966700000,11188000,12262900,-189.52627815516624
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,1000000,1280,1109,180,12262900,10610700,1652200,-2076650000,6967120000,-9043770000,7478230000,10610700,12262900,-195.71281819295618
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,100000,746,732,23,7163000,6953600,209400,-720110000,764480000,-1484590000,609410000,6953600,7163000,-103.55930740911182
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,200000,746,737,19,7163000,7006500,156500,-700440000,471770000,-1172210000,392790000,7006500,7163000,-99.9700278312995
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,500000,746,688,69,7163000,6539900,623100,-638730000,3020100000,-3658830000,2572170000,6539900,7163000,-97.66663098824141
2026-07-12,PRIMARY,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,1000000,746,647,104,7163000,6187300,975700,-635500000,4750710000,-5386210000,4370790000,6187300,7163000,-102.71039063888934
2026-07-12,PRIMARY,300000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,100000,1135,1101,44,10946600,10543600,403000,-2179620000,1627930000,-3807550000,222450000,10543600,10946600,-206.72445843924277
2026-07-12,PRIMARY,300000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,200000,1135,1110,37,10946600,10614900,331700,-2142400000,1253270000,-3395670000,-78670000,10614900,10946600,-201.82950381068122
2026-07-12,PRIMARY,300000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,500000,1135,1048,98,10946600,10031400,915200,-2064150000,3824810000,-5888960000,3263040000,10031400,10946600,-205.76888569890545
2026-07-12,PRIMARY,300000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,1000000,1135,991,153,10946600,9489900,1456700,-2014670000,6129100000,-8143770000,6423230000,9489900,10946600,-212.29623072951242
2026-07-12,PRIMARY,300000,STRICT_THROUGH,REFILL_BY_TIMER,100000,493,483,18,4712100,4552000,160100,-668360000,601140000,-1269500000,331500000,4552000,4712100,-146.82776801405976
2026-07-12,PRIMARY,300000,STRICT_THROUGH,REFILL_BY_TIMER,200000,493,488,12,4712100,4618000,94100,-667040000,288410000,-955450000,-14450000,4618000,4712100,-144.44348202685146
2026-07-12,PRIMARY,300000,STRICT_THROUGH,REFILL_BY_TIMER,500000,493,456,46,4712100,4295900,416200,-582190000,1971660000,-2553850000,1608150000,4295900,4712100,-135.52224213785237
2026-07-12,PRIMARY,300000,STRICT_THROUGH,REFILL_BY_TIMER,1000000,493,432,64,4712100,4095300,616800,-542930000,2862400000,-3405330000,2762670000,4095300,4712100,-132.57392620809222
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,100000,1079,1009,74,10298900,9595400,703500,-835530000,3240810000,-4076340000,2958660000,9595400,10298900,-87.07609896408695
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,200000,1079,1040,45,10298900,9889800,409100,-817300000,1798790000,-2616090000,1474910000,9889800,10298900,-82.64070051972739
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,500000,1079,937,147,10298900,8923200,1375700,-766580000,6735750000,-7502330000,6254670000,8923200,10298900,-85.90864263941187
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,1000000,1079,899,189,10298900,8518300,1780600,-751580000,8163200000,-8914780000,8891220000,8518300,10298900,-88.23121984433514
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,100000,1860,1758,111,17895300,16853400,1041900,-600660000,4828760000,-5429420000,4989580000,16853400,17895300,-35.64028623304496
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,200000,1860,1807,64,17895300,17303800,591500,-623230000,2646910000,-3270140000,2644860000,17303800,17895300,-36.016944255019126
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,500000,1860,1698,173,17895300,16314400,1580900,-590000000,7988390000,-8578390000,7230610000,16314400,17895300,-36.16437012700436
2026-07-12,STRESS,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,1000000,1860,1637,231,17895300,15680600,2214700,-542410000,11403160000,-11945570000,10201430000,15680600,17895300,-34.59115084881956
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,100000,453,441,13,4315100,4194700,120400,-671540000,544820000,-1216360000,-12360000,4194700,4315100,-160.0924976756383
